PM6	15 years old group
PM4908	intrahepatic abnormal biliary duct
PM4909	intraoperative abnormal body temperature
PM4910	intraoral soft tissue defects
PM4918	invasive and in situ female breast cancer cases
PM4919	invasive papillary carcinoma
PM4921	inverted cd4 : cd8 ratio
PM4923	inverted looping
PM4926	ipsilateral adrenal gland
PM4927	ipsilateral agenesis
PM4928	ipsilateral anterior diaphragm
PM4929	ipsilateral axilla
PM4930	ipsilateral axillary lymph node
PM4931	ipsilateral breast four years
PM4934	ipsilateral epigastric vein
PM4935	ipsilateral inguinal hernia
PM4939	ipsilateral renal agenesis
PM4942	irregular acinar growth
PM4945	irregular cystic pelvic mass
PM4946	irregular dysplastic nevi
PM4948	irregular infiltrative growth
PM4950	irregular soft tissue
PM4953	isl1tm1tmjexhibit malformed vasculature
PM4955	isolated left bundle branch block
PM4956	isolated left ventricular enlargement
PM4957	isolated left ventricular noncompaction
PM4958	isolated mild learning disabilities
PM4963	juvenile cataracts
PM4964	juvenile cystic kidney
PM4965	juvenile dermatomyositis
PM4966	juvenile dermatomyositis national registry
PM4967	juvenile dm
PM4969	juvenile hemochromatosis
PM4971	juvenile hypothyroidism
PM4974	juvenile lethality
PM4975	juvenile myelomonocytic leukemia
PM4976	juvenile myocardial infarction
PM4977	juvenile ncl
PM4978	juvenile neuronal ceroid lipofuscinosis
PM4980	juvenile onset
PM4981	juvenile polyposis , peutz jeghers syndrome
PM4982	juvenile polyposis , peutz jeghers syndrome and familial adenomatous polyposis
PM4983	juvenile polyposis syndrome
PM4986	juvenile sle
PM4987	juvenile systemic lupus erythematosus serum
PM4988	juvenile systemic sclerosis
PM4990	juvenile xanthogranuloma
PM4992	kidney tubular damage
PM4993	kinase complex associated protein
PM4997	kinked tail
PM4998	known abnormal blood clotting
PM5002	known predisposing chronic liver disease
PM5003	korea acute myocardial infarction
PM5005	lamellar body associated lipid components
PM5009	lana 1 protein
PM5010	large abnormal molars
PM5013	large common fragile site gene
PM5017	large granular lymphocyte/natural killer
PM5020	large left occipital
PM5026	large protruding ears
PM5030	large soft tissue and chest wall defect
PM5033	large white matter tracts
PM5035	larger abnormal blood pressure response
PM5044	late onset multiple carboxylase deficiency
PM5049	lateral asymmetry
PM5055	lateral compartment
PM5057	lateral defect
PM5058	lateral femoral condyle
PM5069	lateral lymph node metastasis
PM5073	lateral mesoderm plate
PM5075	lateral myocardial infarction and left ventricular hypertrophy
PM5076	lateral neck
PM5077	lateral neck nodes
PM5080	lateral ofc network
PM5083	lateral pelvic wall
PM5085	lateral pharyngeal wall or external neck
PM5087	lateral plate mesoderm
PM5091	lateral right eyebrow
PM5092	lateral right femoral condyle
PM5097	lateral tibial
PM5098	lateral tibial cartilage defects
PM5099	lateral tibial defects
PM5100	lateral tibiofemoral cartilage defect
PM5101	lateral tibiofemoral joint
PM5104	least complex pi3k kinases
PM5107	left acetabulum
PM5109	left adrenal gland
PM5112	left anterior coronary artery
PM5117	left anterior fascicular block
PM5118	left anterosuperior septum
PM5120	left atrial defect
PM5121	left atrial enlargement
PM5122	left atrial enlargement , left ventricular hypertrophy and diastolic dysfunction
PM5123	left atrial myxoma
PM5124	left atrial thrombus and sinus rhythm
PM5125	left atrial volume
PM5126	left atrial volume index
PM5128	left atrioventricular valve
PM5130	left atrium and the atrial septum
PM5131	left auditory cortex
PM5134	left axillary lipomas
PM5135	left axis deviation
PM5137	left basal ganglia
PM5138	left brachial plexus
PM5139	left breast
PM5140	left breast mass
PM5141	left breast tissue
PM5142	left bundle branch block
PM5143	left cardiac sympathetic denervation
PM5146	left cerebellar peduncle
PM5148	left cerebral hemisphere
PM5152	left colon
PM5153	left colon cancer
PM5154	left colon vs. rectum
PM5155	left colonic diverticulitis
PM5158	left common femoral artery
PM5159	left common iliac artery
PM5160	left common iliac vein
PM5163	left cpa
PM5165	left diaphragm
PM5166	left distal femur
PM5167	left distal ureter
PM5168	left dorsolateral frontal cortex
PM5169	left ear
PM5170	left elbow se
PM5174	left facial weakness
PM5175	left femoral bone
PM5176	left femoral head
PM5177	left femoral head and acetabulum
PM5181	left frontal
PM5182	left frontal and basal ganglia
PM5183	left frontal cortex
PM5184	left frontal lobe
PM5185	left frontal pole
PM5190	left heart disease
PM5192	left hemiparesis
PM5193	left hemisphere damage
PM5194	left hemithorax
PM5196	left hip
PM5198	left inguinal hernia
PM5203	left internal carotid artery
PM5204	left intracranial arteriovenous malformations
PM5206	left ischium
PM5208	left kidney tumor
PM5210	left lateral plate mesoderm
PM5223	left mca territory
PM5224	left mesial temporal lobe epilepsy
PM5225	left obturator internus muscle
PM5227	left outflow tract
PM5228	left outflow tract obstruction
PM5229	left ovarian vein
PM5232	left paravertebral soft tissue
PM5233	left parietal lobe
PM5234	left parieto occipital arteriovenous malformation
PM5235	left parotid gland
PM5236	left patellar tendon
PM5239	left petrous bone
PM5243	left posterior cingulate cortex , the left medial parietal lobe and in the right inferior temporal lobe
PM5244	left posterior superior temporal gyrus
PM5245	left posteroinferior septum
PM5246	left precentral gyrus
PM5247	left primary auditory cortex
PM5249	left pulmonary artery
PM5250	left pulmonary artery sling and narrowing
PM5251	left pulmonary pericardial sinus
PM5252	left seminal vesicle
PM5254	left shoulder joint
PM5256	left sided hydrocele
PM5257	left sided large bowel obstruction
PM5258	left sigmoid sinus
PM5260	left subclavian artery
PM5261	left superior temporal lobe
PM5262	left superior vena cava
PM5265	left temporal lobe
PM5266	left testis
PM5269	left thoracic scoliosis
PM5270	left thorax
PM5273	left transverse sinus
PM5275	left upper abdominal quadrant
PM5277	left upper jaw
PM5279	left upper pericardial defect
PM5280	left upper thigh
PM5281	left ureteropelvic junction
PM5283	left ventricle
PM5285	left ventricle end diastolic pressure
PM5286	left ventricle enlargement
PM5288	left ventricle hypertrophy
PM5290	left ventricle size
PM5291	left ventricular
PM5292	left ventricular abnormality
PM5294	left ventricular dilatation
PM5295	left ventricular end diastolic diameter
PM5297	left ventricular end systolic diameter
PM5298	left ventricular end systolic volume
PM5299	left ventricular enlargement
PM5300	left ventricular function or myocardial fibrosis
PM5301	left ventricular hypertrabeculation/noncompaction
PM5302	left ventricular hypertrophy
PM5303	left ventricular hypoplasia
PM5308	left ventricular mass
PM5309	left ventricular mass index
PM5310	left ventricular mass index , left ventricular volumes and lvef
PM5311	left ventricular mass three months later
PM5313	left ventricular noncompaction
PM5314	left ventricular outflow tract
PM5315	left ventricular outflow tract obstruction
PM5316	left ventricular posterior wall
PM5317	left ventricular septum
PM5320	left ventricular systolic dysfunction
PM5321	left ventricular twist
PM5323	left ventricular volume and mass
PM5324	left ventricular wall thickness mm
PM5326	left visual field defect
PM5329	levator ani striated muscle
PM5330	levodopa induced abnormal involuntary movement
PM5335	light chain or primary amyloidosis
PM5341	lineage acute lymphoblastic leukemia
PM5342	linear enamel hypoplasia
PM5346	linear scar
PM5349	linear skin defects
PM5350	linear skin defects syndrome
PM5353	linked adrenoleukodystrophy white matter
PM5354	linked chronic granulomatous disease
PM5355	linked chronic granulomatous disease carriers
PM5356	linked severe combined immunodeficiency
PM5361	lobular inflammatory disease
PM5363	local abnormal pap smear
PM5366	localized hypertrophic neuropathy
PM5367	localized juvenile periodontitis
PM5368	locally advanced breast cancer
PM5369	locally advanced nsclc
PM5370	locally advanced pancreatic adenocarcinoma
PM5371	loco regionally advanced squamous cell carcinoma
PM5372	long # 945 ; 7 helix
PM5382	long bone abnormality mouse
PM5388	long bone deficiency
PM5391	long bone versus maxillofacial bone defects
PM5393	long cag tract
PM5394	long chain polyunsaturated fatty acid
PM5395	long chain polyunsaturated fatty acids
PM5396	long chromosome 4 syndrome
PM5399	long duration dm
PM5400	long face
PM5407	long lasting chronic osteomyelitis
PM5409	long lasting insecticidal bed nets
PM5410	long lasting insecticide
PM5414	long nail
PM5415	long narrow face
PM5417	long palpebral fissures
PM5418	long philtrum
PM5419	long qt syndrome
PM5420	long saphenous vein
PM5430	long term non progressive hiv infection
PM5432	long term surviving cystic fibrosis
PM5436	loose anagen hair
PM5438	loose group
PM5443	low density lipoprotein
PM5444	low density lipoprotein cholesterol
PM5445	low density lipoprotein derived cholesterol
PM5446	low density lipoprotein receptors
PM5447	low energy distal radius
PM5449	low grade focal damage
PM5455	low red blood cell count
PM5456	low red cell complement regulatory protein
PM5457	low to normal adh levels
PM5463	low white blood cell count
PM5464	low white cell count
PM5468	lvdd = left ventricular diastolic dysfunction
PM5471	lymphoproliferative or generalized lymphoproliferative disorder
PM5472	lymphotropic virus type iii/lymphadenopathy associated virus
PM5474	macular hard drusen
PM5476	magnetic resonance abnormalities and cardiovascular disease
PM5477	magnetic resonance detected subchondral bone marrow
PM5481	mainly abnormal thyroid stimulating hormone
PM5485	male aging
PM5486	male breast
PM5487	male breast cancer
PM5489	male breast cancer patients 34
PM5491	male chromosome complement
PM5495	male factor infertility
PM5498	male germ line
PM5501	male hypogenitalism
PM5502	male hypogonadism
PM5503	male infertile
PM5504	male infertility
PM5505	male infertility and severe sperm motility defects
PM5506	male internal and external genitalia
PM5508	male lethality
PM5510	male obesity
PM5517	male reproductive tract
PM5518	male reproductive tract abnormalities
PM5519	male secondary sex characteristics
PM5521	male sex characteristics
PM5522	male sex differentiation
PM5523	male sex workers
PM5526	male sterility
PM5528	male tail defect
PM5530	male tail mutant defect
PM5534	malformation classification system
PM5536	malformed cochlea
PM5537	malformed cornea
PM5538	malformed corpus callosum
PM5539	malformed cortex
PM5540	malformed ears
PM5541	malformed external ears
PM5542	malformed eyes
PM5543	malformed inner ears
PM5544	malformed left auricle
PM5547	malformed posterior teeth
PM5548	malformed protein variants
PM5549	malformed teeth
PM5550	malformed thoracic vertebrae
PM5551	malformed toes
PM5552	malignancy , infection , inflammatory disorder or fracture
PM5553	malignant peripheral nerve sheath tumor
PM5554	malignant peripheral nerve sheath tumors
PM5555	malignant peripheral nerve sheath tumour
PM5556	malignant peripheral nerve sheath tumour and malignant triton tumour
PM5557	mammalian abnormal prion protein
PM5558	mammary gland terminal end bud formation
PM5559	management acute renal failure
PM5560	managing atypical antipsychotic associated weight gain
PM5573	matched normal prostate
PM5575	maternal inactive systemic lupus erythematosus
PM5577	maternal peripheral malaria
PM5578	maternal peripheral malaria infection
PM5579	maternal systemic inflammatory response
PM5580	maternal uniparental disomy
PM5590	mature breast cells
PM5592	mature cancer cells
PM5595	mature cystic teratoma
PM5601	mature kidneys
PM5605	mature mammary epithelium
PM5606	mature mcf7 cells and other tumors and tumor cell lines
PM5608	mature motile sperm
PM5610	mature muscle
PM5611	mature muscle cells
PM5612	mature muscle fibers
PM5623	mature scar tissue
PM5626	mature skeletal muscle
PM5627	mature sp c
PM5628	mature sp c protein
PM5630	mature sperm aspirated
PM5631	mature t/nk cell neoplasms
PM5632	mature teratoma
PM5636	mci mild cognitive impairment
PM5637	mean abnormal dwi volume
PM5638	mean height sds
PM5641	medial and lateral temporal lobe epilepsy
PM5645	membrane associated fatty acid desaturases
PM5647	mental retardation , moderate and mental retardation
PM5648	mesial temporal lobe epilepsy
PM5649	mesial temporal sclerosis
PM5650	metaphyseal osseous volume defects
PM5651	metaplastic breast cancer
PM5652	metaplastic breast carcinoma
PM5653	metaplastic cancer matrix producing type
PM5654	metaplastic carcinoma
PM5655	metaplastic epithelium
PM5656	metaplastic matrix producing and spindle cell carcinomas
PM5657	metastatic adenoid cystic carcinoma
PM5658	metastatic clear renal cell carcinoma
PM5659	methylation positive normal mucosa cells
PM5662	microscopic unbalanced chromosome abnormalities
PM5663	microtubule associated protein spag5
PM5664	microtubule associated protein tau
PM5665	microtubule associated protein tau gene
PM5668	microtubule associated tau protein
PM5669	microtubule associated tau proteins
PM5670	middle temporal gyrus
PM5671	mild abnormal glucose tolerance
PM5672	mild actin depletion
PM5676	mild alpha thalassemia
PM5677	mild alzheimer disease
PM5678	mild and non specific facial dysmorphism
PM5680	mild aortic stenosis
PM5681	mild asthma
PM5682	mild axon loss
PM5683	mild bowing
PM5685	mild cartilage defect
PM5686	mild cataract
PM5687	mild cerebellar abnormalities
PM5688	mild cerebellar atrophy
PM5689	mild chromatin abnormalities
PM5690	mild chronic obstructive pulmonary disease
PM5691	mild cognitive impairment
PM5692	mild cognitive impairment and alzheimer's disease
PM5693	mild colitis
PM5694	mild constrictive pericarditis
PM5695	mild copd
PM5696	mild copd patients
PM5698	mild denervation
PM5699	mild denervation characteristics
PM5700	mild developmental delay
PM5702	mild diastolic defect
PM5703	mild diastolic dysfunction
PM5704	mild diffuse cerebral atrophy
PM5708	mild disorientation or lethargy
PM5709	mild dysmorphic features
PM5710	mild dysphasia
PM5712	mild end
PM5714	mild esophagitis
PM5715	mild facial asymmetry
PM5716	mild facial dysmorphism
PM5717	mild fatty liver disease
PM5718	mild fibrosis
PM5719	mild gas exchange abnormalities
PM5720	mild gastritis
PM5721	mild gdm
PM5722	mild genital defect
PM5723	mild gestational diabetes
PM5724	mild gestational diabetes mellitus
PM5725	mild growth retardation
PM5728	mild hydronephrosis
PM5729	mild hyperhomocysteinemia
PM5731	mild hypospadias
PM5736	mild inner cerebral atrophy
PM5737	mild insulin resistance
PM5738	mild intellectual disability
PM5739	mild intellectual impairment
PM5740	mild interstitial pneumonia
PM5742	mild iris damage
PM5746	mild malaria
PM5747	mild male tail defect
PM5748	mild memory loss
PM5749	mild mental retardation
PM5750	mild microcephaly
PM5751	mild micrognathia
PM5754	mild musculature defects
PM5755	mild myopathy
PM5756	mild nephrotic syndrome
PM5757	mild osteolysis
PM5758	mild osteopetrosis
PM5760	mild pancreatitis
PM5763	mild peripheral demyelinating polyneuropathy
PM5764	mild peripheral insulin resistance
PM5765	mild peripheral pulmonary stenosis
PM5766	mild peroxisomal defect
PM5767	mild persistent asthma
PM5771	mild proteinuria
PM5772	mild proteinuria and abnormal urine analysis
PM5774	mild ptosis
PM5775	mild pulmonary stenosis
PM5780	mild rpe changes
PM5781	mild rpe defects
PM5783	mild sensory fiber involvement
PM5784	mild skeletal abnormalities
PM5785	mild slow muscle defects
PM5786	mild somite defects
PM5787	mild splenomegaly
PM5792	mild thinning
PM5796	mild to moderate copd
PM5797	mild to moderate depression
PM5798	mild to moderate hypokinesia
PM5799	mild to moderate intellectual disability
PM5800	mild to moderate mental retardation
PM5801	mild to moderate mitral regurgitation
PM5802	mild to moderate persistent asthma
PM5803	mild to moderate valvular disease
PM5805	mild tricuspid regurgitation
PM5806	mild tricuspid valve hypoplasia
PM5807	mild ventricular septal defects
PM5808	mild villous atrophy
PM5809	mild vocal cord dysfunction
PM5810	mild von willebrand disease
PM5812	mild wolf hirschhorn syndrome
PM5813	mildly abnormal retinal function
PM5821	minimal atrial septal defect
PM5826	minimal change disease
PM5827	minimal craniofacial dysmorphic features
PM5828	minimal cytoplasm
PM5829	minimal disease activity
PM5830	minimal encephalopathy
PM5831	minimal facial dysmorphic features
PM5834	minimal hepatic encephalopathy
PM5842	minimal residual disease
PM5845	minimal weight gain
PM5846	minimally impaired multiple sclerosis patients
PM5850	mitochondrial complex i nd6 subunit
PM5851	mitochondrial fatty acid beta oxidation
PM5852	mitochondrial fatty acid oxidation
PM5855	mitotically inactive spindle cell tumour
PM5856	mixed alzheimer disease/vascular dementia
PM5857	mixed anxiety depression
PM5858	mixed aom
PM5861	mixed capillary and cavernous hemangiomas
PM5865	mixed connective tissue disease
PM5868	mixed ductal and lobular carcinoma
PM5869	mixed dyslipidemia
PM5870	mixed gonadal dysgenesis
PM5872	mixed hcc
PM5873	mixed hyperlipidaemia
PM5874	mixed hyperlipidemia
PM5878	mixed myxoid/round cell liposarcoma
PM5880	mixed soft tissue sarcoma
PM5881	mixed species malaria infections
PM5884	mixed type ii cryoglobulin
PM5886	mixed virus population
PM5890	mobile sperm
PM5893	moderate abnormal collagen
PM5897	moderate aortic insufficiency
PM5898	moderate arthritis
PM5899	moderate azotemia
PM5900	moderate cin group
PM5901	moderate conductive hearing loss
PM5902	moderate copd
PM5904	moderate cytoplasmic kit staining
PM5908	moderate hie
PM5910	moderate hypercalcemia
PM5911	moderate hypercalcemia and severe bone disease
PM5912	moderate hypercholesterolemia
PM5914	moderate intellectual disability
PM5919	moderate joint stiffness
PM5920	moderate learning difficulties
PM5922	moderate mental retardation
PM5923	moderate mental retardation and heart defects
PM5926	moderate muscular dystrophy
PM5930	moderate psychomotor retardation
PM5931	moderate pulmonary stenosis
PM5936	moderate rpe defects
PM5938	moderate skeletal abnormalities
PM5939	moderate surface irregularities
PM5941	moderate to large secundum atrial septal defect
PM5942	moderate to severe encephalopathy
PM5943	moderate to severe left atrial enlargement
PM5944	moderate to severe mental retardation
PM5946	moderate to severe psoriasis
PM5947	moderate to strong staining intensity
PM5948	moderate ulcerative colitis
PM5949	moderate visual loss
PM5952	moderately abnormal psa
PM5953	moderately abundant eosinophilic cytoplasm
PM5954	moderately severe co morbid disease
PM5967	morphologically abnormal mitochondria
PM5968	morphologically abnormal sperm
PM5970	morphologically abnormal sperm heads
PM5971	morphologically normal renal tissue
PM5972	morphologically normal semen
PM5974	mosaic abnormal female chromosome analysis
PM5975	mosaic variegated aneuploidy
PM5978	mouse cystic fibrosis
PM5979	mp:0003313 abnormal locomotor activation
PM5980	mrc chronic dyspnea scale
PM5982	mucinous cystic neoplasm
PM5984	mucosa associated lymphoid tissue lymphoma
PM5985	mucosa associated lymphoid tissue lymphomas
PM5987	multi systemic complex disease
PM5990	multicystic kidneys
PM5991	multicystic ovaries
PM5996	multiple amino acid changes
PM5997	multiple and different seizures types
PM6000	multiple array cgh platforms
PM6001	multiple atrial septal defects
PM6002	multiple atypical nevi
PM6003	multiple autoantibodies
PM6004	multiple axon guidance defects
PM6005	multiple basal cell carcinomas
PM6006	multiple basic amino acids
PM6007	multiple benign and malignant neoplasm susceptibility disorders
PM6013	multiple cancer types
PM6014	multiple capillary malformations
PM6016	multiple cardiac defects
PM6018	multiple ccms
PM6028	multiple chromosome abnormalities
PM6031	multiple cnas and chromosome abnormalities
PM6033	multiple congenital anomaly syndrome
PM6037	multiple cutaneous nodules
PM6042	multiple developmental defects and embryonic lethality
PM6043	multiple developmental eye disorders
PM6045	multiple discitis
PM6048	multiple ear tags
PM6049	multiple early gastric cancer
PM6051	multiple endocrine neoplasia type
PM6052	multiple endocrine neoplasia type 2b
PM6054	multiple epiphyseal dysplasia
PM6055	multiple exostosis
PM6056	multiple fatigue characteristics
PM6058	multiple frameshift mutations and premature stop codons
PM6059	multiple gastrointestinal hamartomatous polyps
PM6060	multiple gene defects
PM6066	multiple gene mutations
PM6071	multiple gh igf axis defects
PM6072	multiple gists
PM6075	multiple hepatocellular carcinoma
PM6076	multiple hnpcc
PM6082	multiple irregular white matter changes
PM6083	multiple joint contractures
PM6085	multiple left bundle branch block
PM6086	multiple lentigines
PM6087	multiple lipid abnormalities
PM6089	multiple lipomas
PM6090	multiple lipoprotein abnormalities
PM6092	multiple lung lesions
PM6098	multiple lysosomal transport defect
PM6099	multiple meningiomas
PM6102	multiple mitochondrial dna deletions
PM6106	multiple muscle biopsies
PM6107	multiple myeloma
PM6108	multiple myeloma cells
PM6109	multiple myeloma patients
PM6110	multiple neurodevelopmental and psychiatric disorders
PM6111	multiple neurofibromas
PM6114	multiple organ defects
PM6123	multiple organ system dysfunction
PM6129	multiple posterior circulation infarctions
PM6130	multiple prominent lobules
PM6136	multiple ptc
PM6137	multiple pulmonary arteriovenous malformations
PM6139	multiple pulmonary nodules
PM6141	multiple renal cysts
PM6142	multiple rtk egfr
PM6143	multiple sclerosis
PM6144	multiple sclerosis and brain tumors
PM6145	multiple sclerosis and chronic autoimmune encephalomyelitis
PM6147	multiple sclerosis pathology
PM6148	multiple sclerosis patient
PM6149	multiple sclerosis patients
PM6150	multiple sclerosis retrovirus particles
PM6151	multiple sclerosis severity score
PM6152	multiple sclerosis white matter
PM6156	multiple skeletal abnormalities
PM6161	multiple sperm
PM6167	multiple sulfatase deficiency
PM6168	multiple symmetric lipomatosis
PM6169	multiple synostoses syndrome type
PM6170	multiple system atrophy
PM6172	multiple tender and/or swollen joints
PM6173	multiple thoracic hemivertebrae
PM6174	multiple tip phenotype
PM6179	multiple ventricular septal defects
PM6180	multiple virus infections
PM6182	multiple wormian bones
PM6189	mutant cystic fibrosis transmembrane conductance regulator
PM6190	mutant male tail defects
PM6192	myelin associated glycoprotein
PM6200	nail dystrophy , abnormal skin pigmentation and mucosal leucoplakia
PM6203	ne associated sun1
PM6210	necrotic adjacent femoral epiphysis
PM6211	necrotic bone
PM6220	nef associated protein
PM6222	neither abnormal vital signs nor anemia
PM6230	neonatal brain disorders
PM6236	neonatal cushing syndrome
PM6238	neonatal diabetes
PM6240	neonatal early onset severe diarrhea
PM6241	neonatal encephalopathy
PM6243	neonatal failure
PM6244	neonatal fhh
PM6250	neonatal hyperbilirubinemia management
PM6251	neonatal hyperglycemia
PM6252	neonatal hypoglycaemia
PM6253	neonatal hypoglycemia
PM6254	neonatal hypotonia
PM6256	neonatal lung injury
PM6257	neonatal malaria
PM6259	neonatal primary hyperparathyroidism
PM6260	neonatal progeroid syndrome
PM6265	neonatal severe hyperparathyroidism
PM6267	neonatal thrombocytopenia
PM6269	neonatal ventral hippocampus
PM6271	neonatal withdrawal
PM6275	neoplastic cancer diseases
PM6279	neoplastic cervical disease
PM6283	neoplastic msc line
PM6284	neoplastic precursor t cell lymphoblasts
PM6288	nephropathy
PM6289	neural tube defect
PM6290	neurodegeneration
PM6297	new left bundle branch block
PM6300	newly detected abnormal glucose regulation
PM6301	newly detected abnormal glucose tolerance
PM6302	newly diagnosed abnormal glucose regulation
PM6303	newly diagnosed abnormal glucose tolerance
PM6304	newly diagnosed inflammatory bowel disease
PM6305	newly diagnosed multiple myeloma
PM6306	newly emerged severe acute respiratory syndrome associated coronavirus
PM6308	nf1 associated bone dysplasia
PM6309	nf1 associated malignant schwannoma
PM6310	nf1 associated melanoma
PM6311	nf1 associated neurofibromas
PM6313	nodal peripheral t cell nodal lymphoma
PM6314	nodular advanced stage kaposi's sarcoma
PM6316	nodular goiter
PM6317	nodular growth pattern
PM6318	nodular hcc
PM6320	nodular liver surface
PM6321	nodular lymphocyte predominant hodgkin lymphoma
PM6322	nodular lymphocyte predominant hodgkin lymphoma and lymphocyte rich classical hodgkin lymphoma
PM6323	nodular lymphocyte predominant hodgkin's lymphoma
PM6324	nodular lymphoid hyperplasia
PM6326	nodular regenerative hyperplasia and primary biliary cirrhosis
PM6327	non alcoholic fatty liver disease
PM6328	non alcoholic fatty liver disease and sleep apnea
PM6330	non critical size bilateral bone defects
PM6331	non enhancing nodular lesions
PM6332	non functional abca1
PM6333	non functional c4b allele
PM6334	non functional dna pkcs
PM6338	non functional p53
PM6341	non functional xrcc3
PM6342	non hispanic white ovarian cancer patients
PM6343	non muscle myosin heavy chain
PM6345	non nucleate red blood cells
PM6346	non proliferative breast disease
PM6348	non specific diffuse electroencephalogram
PM6349	non traditional chronic kidney disease
PM6350	nonalcoholic fatty liver disease
PM6351	nontoxic nodular goiter
PM6357	normal 5 sss
PM6359	normal acrosome
PM6360	normal acrosome development
PM6363	normal adipose tissue
PM6364	normal adult human working ventricular myocardium
PM6365	normal aer
PM6367	normal aging brain
PM6370	normal albumin excretion rates
PM6375	normal and abnormal human striated muscle cells
PM6378	normal and atypical hyperplastic breast tissues
PM6379	normal and breast cancer cells
PM6382	normal and thyroid carcinoma cell lines
PM6387	normal appearing mucosa
PM6388	normal appearing white matter
PM6390	normal articular cartilage
PM6391	normal ast value
PM6392	normal atp7a transcript
PM6394	normal b cell responses
PM6395	normal b cell responses but defective suppressor t cell responses
PM6396	normal background activity
PM6401	normal bile ducts
PM6402	normal biliary tree
PM6407	normal bladder epithelial cells
PM6408	normal bladder epithelial cells and bladder cancer cell lines
PM6410	normal blood cell karyotype
PM6411	normal blood cells
PM6414	normal blood lymphocytes
PM6418	normal bmd
PM6426	normal bone development
PM6427	normal bone marrow
PM6428	normal bone marrow biopsy
PM6429	normal bone mineral density
PM6431	normal bone turnover
PM6432	normal brain
PM6434	normal brain cells
PM6437	normal brain parenchyma
PM6439	normal brain tissue
PM6440	normal brain tissues
PM6441	normal brain ventricle morphology
PM6442	normal breast 11121314151617181920212223242526272829303132333435
PM6443	normal breast epithelial cells
PM6444	normal breast epithelium
PM6445	normal breast phenotype
PM6446	normal breast tissue
PM6447	normal breast tissue or benign breast lesions
PM6448	normal breast tissues
PM6449	normal bronchial epithelium
PM6450	normal bronchial mucosa
PM6452	normal c1 inh
PM6455	normal cartilage
PM6459	normal cell contamination
PM6460	normal cell contamination and potential tumor heterogeneity
PM6477	normal cell phenotype
PM6480	normal cellular prion protein
PM6481	normal cellular protein
PM6482	normal cellular/glandular breast morphology
PM6484	normal cerebrospinal fluid
PM6485	normal cervical tissue
PM6486	normal cftr
PM6488	normal chlamydial inclusion growth
PM6495	normal cochlear receptor hair cell activity
PM6496	normal cognition
PM6498	normal colon
PM6499	normal colon epithelia
PM6500	normal colon epithelial cells
PM6501	normal colon mucosa
PM6502	normal colon tissue
PM6503	normal colonic epithelium
PM6504	normal colonic mucosa
PM6515	normal definitive endoderm
PM6516	normal definitive endoderm formation
PM6523	normal differentiating sperm
PM6528	normal dna pkcs kinase activity
PM6529	normal duodenal mucosa
PM6530	normal dystrophin
PM6531	normal e cadherin expression
PM6533	normal ecg
PM6534	normal edss scores
PM6535	normal egfr
PM6536	normal ejection fraction but a dilated left atrium
PM6540	normal endometrium
PM6541	normal enterocyte apoptosis
PM6542	normal enzyme activity
PM6543	normal epicardial arteries or non obstructive disease
PM6547	normal erg
PM6549	normal esophageal mucosa
PM6550	normal esophageal tissue
PM6551	normal exocrine pancreas
PM6552	normal eye examination
PM6555	normal fap tissue
PM6556	normal fasting glucose
PM6560	normal fetal growth
PM6564	normal foot
PM6568	normal gastric epithelium
PM6569	normal gastric tissue samples
PM6571	normal gcs
PM6576	normal glioma histological features
PM6577	normal global lung function
PM6578	normal glucose
PM6579	normal glucose metabolism
PM6580	normal glucose regulation
PM6582	normal glucose tolerance
PM6584	normal gonadotropin
PM6585	normal gonadotropin levels
PM6600	normal gut hormone profiles
PM6601	normal hair
PM6602	normal hands
PM6605	normal height
PM6606	normal hemoglobin
PM6610	normal human brain
PM6612	normal human liver cell line
PM6613	normal human lung
PM6620	normal huntingtin levels
PM6621	normal hypopharyngeal mucosa
PM6622	normal iap
PM6624	normal insulin sensitivity
PM6625	normal intelligence
PM6626	normal intestinal epithelium
PM6629	normal karyotype
PM6630	normal karyotype and abnormal spermatogenesis
PM6631	normal karyotypes and normal female secondary sex characteristics
PM6632	normal kidney
PM6635	normal left ventricular function and no valvular abnormality
PM6636	normal left ventricular size
PM6640	normal lipid profile
PM6641	normal lipid profiles
PM6642	normal lit1
PM6643	normal liver
PM6644	normal liver biliary cells
PM6645	normal liver cell line
PM6646	normal liver enzyme tests
PM6647	normal liver enzymes
PM6648	normal liver parenchema
PM6649	normal lobular and ductal breast cells
PM6653	normal lung function
PM6654	normal lung parenchyma
PM6656	normal lung structure
PM6657	normal lung tissue
PM6658	normal lung tissues
PM6660	normal lv geometry
PM6666	normal mammary epithelium
PM6667	normal mammary gland
PM6668	normal mammary gland development
PM6669	normal mammary stem
PM6670	normal mandibular growth
PM6672	normal mesoderm differentiation
PM6676	normal mmr
PM6677	normal motile sperm
PM6681	normal mpi
PM6683	normal mrs
PM6684	normal mucosa
PM6685	normal mucosa samples
PM6687	normal mucosa tissue
PM6688	normal mucous neck cell
PM6689	normal muscle
PM6690	normal muscle function
PM6691	normal muscle growth
PM6693	normal myocardial signal intensity
PM6696	normal nerve conduction
PM6702	normal ocular growth
PM6703	normal or impai.e. glucose tolerance
PM6706	normal oral mucosa
PM6708	normal ovarian epithelium
PM6709	normal ovary
PM6710	normal p27 alleles
PM6712	normal pancreas
